step,tokens,target_tokens,standard_validation_loss,full_attnres_validation_loss,delta_validation_loss,standard_hellaswag_accuracy,full_attnres_hellaswag_accuracy,standard_wall_clock_seconds,full_attnres_wall_clock_seconds
0,524288,524288,10.900391674041746,10.892006254196167,-0.008385419845579278,0.24726150169288985,0.24646484763991236,64.53369840234518,728.5233261287212
19,10485760,10485760,9.54101319313049,9.549111652374268,0.008098459243777612,0.25692093208524197,0.2551284604660426,189.27951288595796,1900.9255671408027
48,25690112,25690112,8.604507446289062,8.605433559417726,0.0009261131286635305,0.24815773750248954,0.24825731925911174,340.69280822761357,3356.470153303817
95,50331648,50331648,7.249641346931458,7.254307651519775,0.004666304588316628,0.24596693885680143,0.24716191993626768,547.7255292013288,5233.338950576261
143,75497472,75497472,6.709752392768861,6.704704236984254,-0.005048155784606934,0.24566819358693487,0.24447321250746862,758.0373597424477,7163.597079148516
190,100139008,100139008,6.421217298507691,6.412366676330566,-0.008850622177124734,0.24596693885680143,0.24417446723760208,969.930273860693,9028.403531767428
