step,tokens,destination,source_depth,mean_weight,mean_entropy
190,100139008,block_01_attention,0,1.0,0.0
190,100139008,block_01_mlp,0,0.5221278667449951,0.677352786064148
190,100139008,block_01_mlp,1,0.47787219285964966,0.677352786064148
190,100139008,block_02_attention,0,0.36012977361679077,1.0903037786483765
190,100139008,block_02_attention,1,0.3580135405063629,1.0903037786483765
190,100139008,block_02_attention,2,0.2818566858768463,1.0903037786483765
190,100139008,block_02_mlp,0,0.26710447669029236,1.354536533355713
190,100139008,block_02_mlp,1,0.2968868017196655,1.354536533355713
190,100139008,block_02_mlp,2,0.27697449922561646,1.354536533355713
190,100139008,block_02_mlp,3,0.15903425216674805,1.354536533355713
190,100139008,block_03_attention,0,0.20276132225990295,1.6074399948120117
190,100139008,block_03_attention,1,0.20356698334217072,1.6074399948120117
190,100139008,block_03_attention,2,0.2003144472837448,1.6074399948120117
190,100139008,block_03_attention,3,0.20066092908382416,1.6074399948120117
190,100139008,block_03_attention,4,0.19269631803035736,1.6074399948120117
190,100139008,block_03_mlp,0,0.1818760633468628,1.7578696012496948
190,100139008,block_03_mlp,1,0.19205117225646973,1.7578696012496948
190,100139008,block_03_mlp,2,0.20086994767189026,1.7578696012496948
190,100139008,block_03_mlp,3,0.10242918133735657,1.7578696012496948
190,100139008,block_03_mlp,4,0.1945888251066208,1.7578696012496948
190,100139008,block_03_mlp,5,0.12818482518196106,1.7578696012496948
190,100139008,block_04_attention,0,0.14096608757972717,1.9421714544296265
190,100139008,block_04_attention,1,0.15017010271549225,1.9421714544296265
190,100139008,block_04_attention,2,0.14596478641033173,1.9421714544296265
190,100139008,block_04_attention,3,0.14340515434741974,1.9421714544296265
190,100139008,block_04_attention,4,0.1408178210258484,1.9421714544296265
190,100139008,block_04_attention,5,0.14209862053394318,1.9421714544296265
190,100139008,block_04_attention,6,0.13657742738723755,1.9421714544296265
190,100139008,block_04_mlp,0,0.13698366284370422,2.0315256118774414
190,100139008,block_04_mlp,1,0.15313075482845306,2.0315256118774414
190,100139008,block_04_mlp,2,0.1627504974603653,2.0315256118774414
190,100139008,block_04_mlp,3,0.07703161239624023,2.0315256118774414
190,100139008,block_04_mlp,4,0.14330178499221802,2.0315256118774414
190,100139008,block_04_mlp,5,0.08533522486686707,2.0315256118774414
190,100139008,block_04_mlp,6,0.14143434166908264,2.0315256118774414
190,100139008,block_04_mlp,7,0.10003213584423065,2.0315256118774414
190,100139008,block_05_attention,0,0.10810180753469467,2.1928815841674805
190,100139008,block_05_attention,1,0.11551567912101746,2.1928815841674805
190,100139008,block_05_attention,2,0.11659584939479828,2.1928815841674805
190,100139008,block_05_attention,3,0.11375385522842407,2.1928815841674805
190,100139008,block_05_attention,4,0.11074019968509674,2.1928815841674805
190,100139008,block_05_attention,5,0.1113683432340622,2.1928815841674805
190,100139008,block_05_attention,6,0.10372965782880783,2.1928815841674805
190,100139008,block_05_attention,7,0.11501774191856384,2.1928815841674805
190,100139008,block_05_attention,8,0.10517687350511551,2.1928815841674805
190,100139008,block_05_mlp,0,0.105786994099617,2.2665395736694336
190,100139008,block_05_mlp,1,0.12709704041481018,2.2665395736694336
190,100139008,block_05_mlp,2,0.12960387766361237,2.2665395736694336
190,100139008,block_05_mlp,3,0.06579025089740753,2.2665395736694336
190,100139008,block_05_mlp,4,0.12008918076753616,2.2665395736694336
190,100139008,block_05_mlp,5,0.0745248943567276,2.2665395736694336
190,100139008,block_05_mlp,6,0.10178246349096298,2.2665395736694336
190,100139008,block_05_mlp,7,0.08240263164043427,2.2665395736694336
190,100139008,block_05_mlp,8,0.1019238829612732,2.2665395736694336
190,100139008,block_05_mlp,9,0.09099879860877991,2.2665395736694336
190,100139008,block_06_attention,0,0.09020079672336578,2.3966715335845947
190,100139008,block_06_attention,1,0.09441384673118591,2.3966715335845947
190,100139008,block_06_attention,2,0.09524735063314438,2.3966715335845947
190,100139008,block_06_attention,3,0.08659082651138306,2.3966715335845947
190,100139008,block_06_attention,4,0.09316973388195038,2.3966715335845947
190,100139008,block_06_attention,5,0.09076928347349167,2.3966715335845947
190,100139008,block_06_attention,6,0.08798776566982269,2.3966715335845947
190,100139008,block_06_attention,7,0.09161841124296188,2.3966715335845947
190,100139008,block_06_attention,8,0.08757119625806808,2.3966715335845947
190,100139008,block_06_attention,9,0.09344486892223358,2.3966715335845947
190,100139008,block_06_attention,10,0.08898591995239258,2.3966715335845947
190,100139008,block_06_mlp,0,0.08431528508663177,2.453958034515381
190,100139008,block_06_mlp,1,0.10485371202230453,2.453958034515381
190,100139008,block_06_mlp,2,0.10747547447681427,2.453958034515381
190,100139008,block_06_mlp,3,0.05983901023864746,2.453958034515381
190,100139008,block_06_mlp,4,0.10479389131069183,2.453958034515381
190,100139008,block_06_mlp,5,0.06657714396715164,2.453958034515381
190,100139008,block_06_mlp,6,0.08333667367696762,2.453958034515381
190,100139008,block_06_mlp,7,0.07484982162714005,2.453958034515381
190,100139008,block_06_mlp,8,0.07640551030635834,2.453958034515381
190,100139008,block_06_mlp,9,0.08135198056697845,2.453958034515381
190,100139008,block_06_mlp,10,0.07694802433252335,2.453958034515381
190,100139008,block_06_mlp,11,0.07925347238779068,2.453958034515381
190,100139008,block_07_attention,0,0.07391275465488434,2.5576250553131104
190,100139008,block_07_attention,1,0.08659619092941284,2.5576250553131104
190,100139008,block_07_attention,2,0.0843496024608612,2.5576250553131104
190,100139008,block_07_attention,3,0.0746322050690651,2.5576250553131104
190,100139008,block_07_attention,4,0.08356784284114838,2.5576250553131104
190,100139008,block_07_attention,5,0.07583769410848618,2.5576250553131104
190,100139008,block_07_attention,6,0.0749405175447464,2.5576250553131104
190,100139008,block_07_attention,7,0.08150099217891693,2.5576250553131104
190,100139008,block_07_attention,8,0.06982163339853287,2.5576250553131104
190,100139008,block_07_attention,9,0.08432218432426453,2.5576250553131104
190,100139008,block_07_attention,10,0.0664374902844429,2.5576250553131104
190,100139008,block_07_attention,11,0.07844065129756927,2.5576250553131104
190,100139008,block_07_attention,12,0.06564024090766907,2.5576250553131104
