id,canonical_group,token_sha256,H_ON,L_LOCAL,R_ON,H_ALL_OFF,R_ALL_OFF,A,B,C,G_H,G_R,I
0,0,be8abab1580fb4ac98baa8cea0cb501137fa0b59fffb1d26e5391554beb5ed15,4.454341512976214,4.475530750786874,4.464079210860689,4.4547002362179455,4.475432741889335,-0.009737697884474983,0.01145153992618475,0.021189237810659733,0.00035872324173169545,0.011353531028646557,0.010994807786914862
1,0,4c913a3eee8e504a0b918cdfeddc052dfaf8e348af3731f742cc3bd31c342a47,4.567179072228214,4.574164852583806,4.563564953530545,4.566595868115201,4.565994208837196,0.003614118697669255,0.010599899053261197,0.006985780355591942,-0.0005832041130133803,0.002429255306651612,0.0030124594196649923
2,0,46531ea2f6de005d33209eadf53eec120b5b342e2f9bff1f44c0592874ad8cf3,3.8685309408709827,3.903504697160656,3.8878182349683357,3.870445786365053,3.90649346203827,-0.01928729409735297,0.015686462192320505,0.034973756289673474,0.001914845494070505,0.018675227069934408,0.016760381575863903
3,0,2df2ea57920e8faecf0c0b8a65a8df1b507dd345a2955be299b37ad07b6a6f15,4.159829730091452,4.17618787530165,4.173632707382133,4.160634608773108,4.176363732096142,-0.013802977290680474,0.002555167919517487,0.01635814521019796,0.0008048786816559073,0.0027310247140093225,0.0019261460323534152
4,0,7db0c186c2b261afe7a72ee313be1f64109810fd06e4128153f1f328abcf49e7,4.00481547592149,3.9919449790554715,4.001717782744919,4.007191225943757,4.021119907883062,0.003097693176570715,-0.00977280368944733,-0.012870496866018044,0.002375750022267198,0.01940212513814288,0.01702637511587568
5,0,07e793d50fc002a77a30cd64220ea5e574488124360d603e7100c9ecf278c9e6,4.125351552341016,4.114639836689847,4.1090556097025654,4.127209933580687,4.121785588405935,0.016295942638450356,0.005584226987281227,-0.01071171565116913,0.0018583812396713029,0.012729978703369227,0.010871597463697924
6,0,fd55b0bb563dbb09c00b3ed61bedf711dd453a81717b2fec87aae63e75068829,3.914306425483062,3.9033812543379014,3.916711843845551,3.924711745475932,3.9557811063446806,-0.002405418362489087,-0.013330589507649648,-0.010925171145160562,0.010405319992869977,0.039069262499129565,0.028663942506259588
7,0,0f225ee6015540a26c799e112ccec318b5ff77d86af69fb2ed360dfb7016da85,3.3563671495401053,3.3491471173459786,3.3528965189217246,3.3554948429345757,3.3634414806940214,0.00347063061838071,-0.003749401575745992,-0.007220032194126702,-0.0008723066055296158,0.010544961772296801,0.011417268377826417
8,0,dff2da1f33d575a192192eb95185af50819496f0316a6e6e7913078535caf191,3.4743939933272685,3.4588958536757417,3.480695508697572,3.4785419063698555,3.5027452558917602,-0.006301515370303434,-0.021799655021830233,-0.015498139651526799,0.0041479130425869926,0.022049747194188285,0.017901834151601292
9,0,3676ccc385079c643c77ac4a09de30f9af765a0b06d77fcf48ea8fbdc2f51185,4.076916895125578,4.04728862938866,4.087514875017632,4.079002961002146,4.095033312802684,-0.010597979892054354,-0.040226245628971924,-0.02962826573691757,0.0020860658765684548,0.007518437785051901,0.0054323719084834465
10,0,b14433175ff4ce512bd0914ee0413429a3a165cbbc901cb40b4fc7016b141f90,3.9012825396250435,3.897149289238996,3.8882802889676,3.9042622567229444,3.911276329107821,0.013002250657443426,0.008869000271396033,-0.0041332503860473935,0.0029797170979009024,0.02299604014022094,0.02001632304232004
11,0,45f51d4ff4c84df1080764abb7bc47a2bde536faa539b3744e8a0a6c9ac804fc,4.529195724692329,4.532072879366982,4.514632276484733,4.52640645140184,4.531212537456867,0.014563448207596252,0.01744060288224958,0.002877154674653326,-0.002789273290488836,0.016580260972133942,0.01936953426262278
12,0,4e62e9f8123955b0a8b4152114ed075b1e561b31f2376474fefe47baf1819c53,3.976466396063131,3.9974543885559797,3.9946178828239454,3.976661708089864,3.998054826088719,-0.01815148676081435,0.0028365057320343112,0.02098799249284866,0.00019531202673306325,0.0034369432647736176,0.0032416312380405543
13,0,4f3bbe3264e2f3af80aab4832275e478403a6bb006a1a924090d5cec78a84096,3.812166126992963,3.7991225540811513,3.80024516336956,3.8138422882043415,3.820246174629382,0.011920963623403225,-0.0011226092884086825,-0.013043572911811907,0.0016761612113782576,0.02000101125982212,0.018324850048443864
14,0,4e2de331bc45e37362de036a816b043b9b781e41a99cda12f4136661e8eb16b9,3.946011242642385,3.9336223312009224,3.938312806706449,3.947913205123257,3.9645678596669427,0.007698435935935777,-0.004690475505526592,-0.012388911441462369,0.0019019624808720437,0.026255052960493686,0.024353090479621642
15,0,78dc2662acca004d6dc14c40381c6db37e9d9e396acba2e09c0a40c074231c3b,3.719612782400702,3.7359418367936,3.701688482247107,3.7188352730508996,3.7063074285651254,0.01792430015359514,0.03425335454649314,0.016329054392898,-0.0007775093498025853,0.004618946318018402,0.005396455667820987
