mask_depth,zero_loss,real_loss,shuffled_loss,specific_gap,real_recovery_fraction,specific_share_of_recovery,real_wins
1,5.9736480712890625,5.36134774684906,5.4016084432601925,0.04026069641113228,0.3231147082171457,0.06575318484104008,20
2,5.974409341812134,5.432481026649475,5.438146090507507,0.0056650638580322266,0.285864119684998,0.010453529921816071,14
3,6.903901362419129,6.8043104887008665,6.791854906082153,-0.012455582618713379,0.035250325136541326,-0.1250675102414466,0
4,7.2173499584198,7.203945517539978,7.201002883911133,-0.0029426336288453925,0.004270704395006338,-0.21952677140566254,9
