W0817 15:36:05.790000 6408 torch/distributed/run.py:774] 
W0817 15:36:05.790000 6408 torch/distributed/run.py:774] *****************************************
W0817 15:36:05.790000 6408 torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0817 15:36:05.790000 6408 torch/distributed/run.py:774] *****************************************
found 1 shards for split val
found 1 shards for split val
found 1 shards for split val
found 1 shards for split val
rank=2 phase=part_a_baseline task=A:final_2b3:zero:1:14 loss=6.1598420143 wall=91.5s
rank=0 phase=part_a_baseline task=A:final_2b3:zero:1:16 loss=6.0394120216 wall=78.7s
rank=3 phase=part_a_baseline task=A:final_2b3:zero:1:19 loss=5.9417495728 wall=79.4s
rank=1 phase=part_a_baseline task=A:final_2b3:zero:1:17 loss=6.0091724396 wall=82.4s
rank=2 phase=part_a_baseline task=A:final_2b3:zero:1:18 loss=5.8594079018 wall=91.5s
rank=0 phase=part_a_baseline task=A:final_2b3:real:1:0 loss=4.7837181091 wall=78.9s
rank=3 phase=part_a_baseline task=A:final_2b3:real:1:3 loss=4.7830519676 wall=79.3s
rank=1 phase=part_a_baseline task=A:final_2b3:real:1:1 loss=4.7584052086 wall=82.3s
rank=2 phase=part_a_baseline task=A:final_2b3:real:1:2 loss=4.8250603676 wall=91.2s
rank=0 phase=part_a_baseline task=A:final_2b3:real:1:4 loss=4.7532415390 wall=78.8s
rank=3 phase=part_a_baseline task=A:final_2b3:real:1:7 loss=4.7511091232 wall=79.1s
rank=1 phase=part_a_baseline task=A:final_2b3:real:1:5 loss=4.7976064682 wall=82.0s
rank=0 phase=part_a_baseline task=A:final_2b3:real:1:8 loss=4.8254199028 wall=78.6s
rank=3 phase=part_a_baseline task=A:final_2b3:real:1:11 loss=4.9520716667 wall=79.2s
rank=2 phase=part_a_baseline task=A:final_2b3:real:1:6 loss=4.8044643402 wall=91.3s
rank=1 phase=part_a_baseline task=A:final_2b3:real:1:9 loss=4.8248834610 wall=82.1s
rank=0 phase=part_a_baseline task=A:final_2b3:real:1:12 loss=4.7837538719 wall=78.4s
rank=3 phase=part_a_baseline task=A:final_2b3:real:1:15 loss=4.8083896637 wall=79.4s
rank=2 phase=part_a_baseline task=A:final_2b3:real:1:10 loss=4.8373508453 wall=91.2s
rank=1 phase=part_a_baseline task=A:final_2b3:real:1:13 loss=4.7978529930 wall=82.1s
rank=0 phase=part_a_baseline task=A:final_2b3:real:1:16 loss=4.8614187241 wall=78.6s
rank=3 phase=part_a_baseline task=A:final_2b3:real:1:19 loss=4.7616295815 wall=79.1s
rank=1 phase=part_a_baseline task=A:final_2b3:real:1:17 loss=4.8657927513 wall=82.3s
rank=2 phase=part_a_baseline task=A:final_2b3:real:1:14 loss=4.9747271538 wall=91.3s
rank=0 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:0 loss=4.7793059349 wall=78.7s
rank=3 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:3 loss=4.7877154350 wall=79.1s
rank=1 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:1 loss=4.7603392601 wall=82.2s
rank=2 phase=part_a_baseline task=A:final_2b3:real:1:18 loss=4.7338614464 wall=91.2s
rank=0 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:4 loss=4.7518119812 wall=79.1s
rank=3 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:7 loss=4.7624506950 wall=79.3s
rank=1 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:5 loss=4.8054137230 wall=82.4s
rank=2 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:2 loss=4.8302659988 wall=91.5s
rank=0 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:8 loss=4.8311481476 wall=78.9s
rank=3 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:11 loss=4.9425892830 wall=80.1s
rank=1 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:9 loss=4.8305845261 wall=82.3s
rank=2 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:6 loss=4.8088197708 wall=91.4s
rank=0 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:12 loss=4.7915945053 wall=78.9s
rank=3 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:15 loss=4.8103504181 wall=80.0s
rank=1 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:13 loss=4.8030805588 wall=82.3s
rank=0 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:16 loss=4.8634090424 wall=78.7s
/usr/local/lib/python3.12/dist-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
rank=2 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:10 loss=4.8397893906 wall=91.8s
rank=3 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:19 loss=4.7750535011 wall=79.6s
/usr/local/lib/python3.12/dist-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
rank=1 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:17 loss=4.8711018562 wall=82.3s
/usr/local/lib/python3.12/dist-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
rank=2 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:14 loss=4.9761319160 wall=91.2s
rank=2 phase=part_a_baseline task=A:final_2b3:coherent_shuffle:1:18 loss=4.7329163551 wall=91.5s
/usr/local/lib/python3.12/dist-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
rank=0 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:0 loss=4.7504887581 wall=79.0s
rank=3 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:3 loss=4.7708244324 wall=79.8s
rank=1 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:1 loss=4.7332715988 wall=82.4s
rank=2 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:2 loss=4.8053655624 wall=91.8s
rank=0 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:4 loss=4.7281689644 wall=79.0s
rank=3 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:7 loss=4.7279706001 wall=79.8s
rank=1 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:5 loss=4.7759623528 wall=82.3s
rank=2 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:6 loss=4.7799577713 wall=92.2s
rank=0 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:8 loss=4.8043074608 wall=78.9s
rank=3 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:11 loss=4.9245543480 wall=80.0s
rank=1 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:9 loss=4.8058152199 wall=81.8s
rank=2 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:10 loss=4.8174405098 wall=91.9s
rank=0 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:12 loss=4.7661552429 wall=79.0s
rank=3 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:15 loss=4.7855591774 wall=80.2s
rank=1 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:13 loss=4.7787103653 wall=81.5s
rank=2 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:14 loss=4.9474325180 wall=92.1s
rank=0 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:16 loss=4.8444919586 wall=78.9s
rank=3 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:19 loss=4.7497353554 wall=80.0s
rank=1 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:17 loss=4.8487896919 wall=81.6s
rank=2 phase=part_a_new_controls task=A:final_2b3:independent_source_shuffle:1:18 loss=4.7063703537 wall=92.3s
rank=0 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:0 loss=4.7539768219 wall=78.3s
rank=3 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:3 loss=4.7658038139 wall=79.1s
rank=1 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:1 loss=4.7340650558 wall=81.0s
rank=0 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:4 loss=4.7152180672 wall=78.5s
rank=2 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:2 loss=4.7809591293 wall=91.5s
rank=3 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:7 loss=4.7167401314 wall=79.2s
rank=1 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:5 loss=4.7622356415 wall=81.2s
rank=0 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:8 loss=4.7868146896 wall=78.6s
rank=3 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:11 loss=4.9325304031 wall=79.0s
rank=2 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:6 loss=4.7529196739 wall=91.4s
rank=1 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:9 loss=4.7911548615 wall=81.1s
rank=0 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:12 loss=4.7544097900 wall=78.7s
rank=3 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:15 loss=4.7747297287 wall=79.0s
rank=1 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:13 loss=4.7658033371 wall=81.2s
rank=2 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:10 loss=4.7923045158 wall=91.5s
rank=0 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:16 loss=4.8215684891 wall=78.9s
rank=3 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:19 loss=4.7281298637 wall=79.0s
rank=1 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:17 loss=4.8390789032 wall=81.2s
rank=2 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:14 loss=4.9293389320 wall=91.9s
rank=0 phase=part_a_new_controls task=A:final_2b3:position_template:1:0 loss=4.7450971603 wall=78.5s
rank=3 phase=part_a_new_controls task=A:final_2b3:position_template:1:3 loss=4.7547636032 wall=79.5s
rank=1 phase=part_a_new_controls task=A:final_2b3:position_template:1:1 loss=4.7219071388 wall=82.0s
rank=2 phase=part_a_new_controls task=A:final_2b3:batch_mean:1:18 loss=4.6867618561 wall=91.6s
rank=0 phase=part_a_new_controls task=A:final_2b3:position_template:1:4 loss=4.7140440941 wall=78.9s
rank=3 phase=part_a_new_controls task=A:final_2b3:position_template:1:7 loss=4.7124252319 wall=79.5s
rank=1 phase=part_a_new_controls task=A:final_2b3:position_template:1:5 loss=4.7558259964 wall=81.9s
rank=2 phase=part_a_new_controls task=A:final_2b3:position_template:1:2 loss=4.7872991562 wall=91.6s
rank=0 phase=part_a_new_controls task=A:final_2b3:position_template:1:8 loss=4.7800626755 wall=78.8s
rank=3 phase=part_a_new_controls task=A:final_2b3:position_template:1:11 loss=4.9107317924 wall=79.5s
rank=1 phase=part_a_new_controls task=A:final_2b3:position_template:1:9 loss=4.7879052162 wall=81.9s
rank=2 phase=part_a_new_controls task=A:final_2b3:position_template:1:6 loss=4.7514348030 wall=91.7s
rank=0 phase=part_a_new_controls task=A:final_2b3:position_template:1:12 loss=4.7529697418 wall=79.1s
rank=3 phase=part_a_new_controls task=A:final_2b3:position_template:1:15 loss=4.7638449669 wall=79.7s
rank=1 phase=part_a_new_controls task=A:final_2b3:position_template:1:13 loss=4.7589669228 wall=82.1s
rank=0 phase=part_a_new_controls task=A:final_2b3:position_template:1:16 loss=4.8216118813 wall=78.9s
rank=3 phase=part_a_new_controls task=A:final_2b3:position_template:1:19 loss=4.7335786819 wall=79.4s
rank=2 phase=part_a_new_controls task=A:final_2b3:position_template:1:10 loss=4.8019399643 wall=91.8s
rank=1 phase=part_a_new_controls task=A:final_2b3:position_template:1:17 loss=4.8196897507 wall=81.8s
rank=0 phase=part_a_new_controls task=A:final_2b3:global_template:1:0 loss=4.7472515106 wall=78.5s
rank=3 phase=part_a_new_controls task=A:final_2b3:global_template:1:3 loss=4.7577309608 wall=79.5s
rank=2 phase=part_a_new_controls task=A:final_2b3:position_template:1:14 loss=4.9294176102 wall=91.7s
rank=1 phase=part_a_new_controls task=A:final_2b3:global_template:1:1 loss=4.7223944664 wall=82.0s
rank=0 phase=part_a_new_controls task=A:final_2b3:global_template:1:4 loss=4.7174229622 wall=78.7s
rank=3 phase=part_a_new_controls task=A:final_2b3:global_template:1:7 loss=4.7143459320 wall=79.4s
rank=2 phase=part_a_new_controls task=A:final_2b3:position_template:1:18 loss=4.6978921890 wall=92.1s
rank=1 phase=part_a_new_controls task=A:final_2b3:global_template:1:5 loss=4.7581539154 wall=82.0s
rank=0 phase=part_a_new_controls task=A:final_2b3:global_template:1:8 loss=4.7826485634 wall=78.7s
rank=3 phase=part_a_new_controls task=A:final_2b3:global_template:1:11 loss=4.9138832092 wall=79.6s
rank=2 phase=part_a_new_controls task=A:final_2b3:global_template:1:2 loss=4.7897791862 wall=91.9s
rank=1 phase=part_a_new_controls task=A:final_2b3:global_template:1:9 loss=4.7896895409 wall=81.8s
rank=0 phase=part_a_new_controls task=A:final_2b3:global_template:1:12 loss=4.7564954758 wall=78.6s
rank=3 phase=part_a_new_controls task=A:final_2b3:global_template:1:15 loss=4.7669987679 wall=79.4s
rank=1 phase=part_a_new_controls task=A:final_2b3:global_template:1:13 loss=4.7604875565 wall=81.8s
rank=2 phase=part_a_new_controls task=A:final_2b3:global_template:1:6 loss=4.7538557053 wall=92.1s
rank=0 phase=part_a_new_controls task=A:final_2b3:global_template:1:16 loss=4.8252420425 wall=78.3s
rank=3 phase=part_a_new_controls task=A:final_2b3:global_template:1:19 loss=4.7358913422 wall=79.4s
rank=1 phase=part_a_new_controls task=A:final_2b3:global_template:1:17 loss=4.8227295876 wall=81.6s
rank=2 phase=part_a_new_controls task=A:final_2b3:global_template:1:10 loss=4.8059520721 wall=91.3s
rank=0 phase=part_a_new_controls task=A:final_2b3:norm_random:1:0 loss=5.7302966118 wall=78.7s
rank=3 phase=part_a_new_controls task=A:final_2b3:norm_random:1:3 loss=5.7027783394 wall=79.6s
rank=1 phase=part_a_new_controls task=A:final_2b3:norm_random:1:1 loss=5.6809210777 wall=82.2s
rank=0 phase=part_a_new_controls task=A:final_2b3:norm_random:1:4 loss=5.6908092499 wall=79.0s
rank=2 phase=part_a_new_controls task=A:final_2b3:global_template:1:14 loss=4.9318308830 wall=91.1s
rank=3 phase=part_a_new_controls task=A:final_2b3:norm_random:1:7 loss=5.6530876160 wall=80.9s
rank=1 phase=part_a_new_controls task=A:final_2b3:norm_random:1:5 loss=5.7154226303 wall=82.5s
rank=0 phase=part_a_new_controls task=A:final_2b3:norm_random:1:8 loss=5.7311172485 wall=79.1s
rank=3 phase=part_a_new_controls task=A:final_2b3:norm_random:1:11 loss=5.8510127068 wall=80.2s
rank=2 phase=part_a_new_controls task=A:final_2b3:global_template:1:18 loss=4.7009625435 wall=91.5s
rank=1 phase=part_a_new_controls task=A:final_2b3:norm_random:1:9 loss=5.7404952049 wall=81.9s
rank=0 phase=part_a_new_controls task=A:final_2b3:norm_random:1:12 loss=5.7295932770 wall=79.4s
rank=3 phase=part_a_new_controls task=A:final_2b3:norm_random:1:15 loss=5.7486534119 wall=80.4s
rank=2 phase=part_a_new_controls task=A:final_2b3:norm_random:1:2 loss=5.7708239555 wall=92.0s
rank=1 phase=part_a_new_controls task=A:final_2b3:norm_random:1:13 loss=5.7379226685 wall=82.0s
rank=0 phase=part_a_new_controls task=A:final_2b3:norm_random:1:16 loss=5.7951998711 wall=79.3s
rank=3 phase=part_a_new_controls task=A:final_2b3:norm_random:1:19 loss=5.7179598808 wall=80.5s
rank=2 phase=part_a_new_controls task=A:final_2b3:norm_random:1:6 loss=5.6990103722 wall=92.5s
rank=1 phase=part_a_new_controls task=A:final_2b3:norm_random:1:17 loss=5.7785120010 wall=82.1s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag8:1:0 loss=4.7899408340 wall=79.4s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag8:1:3 loss=4.7896909714 wall=80.8s
rank=2 phase=part_a_new_controls task=A:final_2b3:norm_random:1:10 loss=5.7615213394 wall=92.3s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag8:1:1 loss=4.7703132629 wall=82.6s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag8:1:4 loss=4.7549481392 wall=78.8s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag8:1:7 loss=4.7618627548 wall=79.7s
rank=2 phase=part_a_new_controls task=A:final_2b3:norm_random:1:14 loss=5.9233870506 wall=92.0s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag8:1:8 loss=4.8308615685 wall=79.0s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag8:1:5 loss=4.8049063683 wall=82.8s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag8:1:11 loss=4.9531197548 wall=80.0s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag8:1:12 loss=4.8013248444 wall=79.0s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag8:1:9 loss=4.8342204094 wall=82.6s
rank=2 phase=part_a_new_controls task=A:final_2b3:norm_random:1:18 loss=5.6328206062 wall=91.7s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag8:1:15 loss=4.8199162483 wall=80.4s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag8:1:16 loss=4.8775510788 wall=79.2s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag8:1:13 loss=4.8040275574 wall=82.6s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag8:1:2 loss=4.8247027397 wall=92.6s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag8:1:19 loss=4.7709851265 wall=80.1s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag32:1:0 loss=4.8246145248 wall=79.6s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag8:1:17 loss=4.8705153465 wall=82.9s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag32:1:3 loss=4.8290758133 wall=80.3s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag8:1:6 loss=4.8079285622 wall=93.5s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag32:1:4 loss=4.7906994820 wall=79.5s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag32:1:1 loss=4.7977466583 wall=82.9s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag32:1:7 loss=4.7944483757 wall=80.4s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag8:1:10 loss=4.8433117867 wall=92.7s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag32:1:8 loss=4.8654446602 wall=79.2s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag32:1:5 loss=4.8352522850 wall=83.1s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag32:1:11 loss=4.9816036224 wall=79.9s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag8:1:14 loss=4.9797406197 wall=93.9s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag32:1:12 loss=4.8364057541 wall=80.2s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag32:1:9 loss=4.8651514053 wall=85.0s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag32:1:15 loss=4.8467555046 wall=81.4s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag8:1:18 loss=4.7337241173 wall=92.2s
rank=0 phase=part_a_new_controls task=A:final_2b3:lag32:1:16 loss=4.9119572639 wall=79.4s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag32:1:13 loss=4.8383059502 wall=83.2s
rank=3 phase=part_a_new_controls task=A:final_2b3:lag32:1:19 loss=4.8169889450 wall=80.7s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag32:1:2 loss=4.8722882271 wall=92.2s
rank=1 phase=part_a_new_controls task=A:final_2b3:lag32:1:17 loss=4.9130606651 wall=83.0s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag32:1:6 loss=4.8446917534 wall=92.0s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag32:1:10 loss=4.8741278648 wall=92.0s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag32:1:14 loss=5.0154585838 wall=92.2s
rank=2 phase=part_a_new_controls task=A:final_2b3:lag32:1:18 loss=4.7685451508 wall=92.0s
rank=0 phase=part_b_depth1_regression task=B:writer_10m:zero:1:0 loss=5.9636387825 wall=78.6s
rank=3 phase=part_b_depth1_regression task=B:writer_10m:zero:1:3 loss=5.9405536652 wall=79.9s
rank=1 phase=part_b_depth1_regression task=B:writer_10m:zero:1:1 loss=5.9159822464 wall=82.5s
rank=2 phase=part_b_depth1_regression task=B:writer_10m:zero:1:2 loss=6.0065183640 wall=91.5s
rank=0 phase=part_b_depth1_regression task=B:writer_10m:zero:1:4 loss=5.9225687981 wall=78.6s
rank=3 phase=part_b_depth1_regression task=B:writer_10m:zero:1:7 loss=5.8992829323 wall=79.6s
rank=1 phase=part_b_depth1_regression task=B:writer_10m:zero:1:5 loss=5.9449968338 wall=82.2s
