sequence_id,canonical_group,token_sha256,CE_L,CE_H,difference
0,0,be8abab1580fb4ac98baa8cea0cb501137fa0b59fffb1d26e5391554beb5ed15,4.475530750786874,4.454341512976214,0.021189237810659733
1,0,4c913a3eee8e504a0b918cdfeddc052dfaf8e348af3731f742cc3bd31c342a47,4.574164852583806,4.567179072228214,0.006985780355591942
2,0,46531ea2f6de005d33209eadf53eec120b5b342e2f9bff1f44c0592874ad8cf3,3.903504697160656,3.8685309408709827,0.034973756289673474
3,0,2df2ea57920e8faecf0c0b8a65a8df1b507dd345a2955be299b37ad07b6a6f15,4.17618787530165,4.159829730091452,0.01635814521019796
4,0,7db0c186c2b261afe7a72ee313be1f64109810fd06e4128153f1f328abcf49e7,3.9919449790554715,4.00481547592149,-0.012870496866018044
5,0,07e793d50fc002a77a30cd64220ea5e574488124360d603e7100c9ecf278c9e6,4.114639836689847,4.125351552341016,-0.01071171565116913
6,0,fd55b0bb563dbb09c00b3ed61bedf711dd453a81717b2fec87aae63e75068829,3.9033812543379014,3.914306425483062,-0.010925171145160562
7,0,0f225ee6015540a26c799e112ccec318b5ff77d86af69fb2ed360dfb7016da85,3.3491471173459786,3.3563671495401053,-0.007220032194126702
8,0,dff2da1f33d575a192192eb95185af50819496f0316a6e6e7913078535caf191,3.4588958536757417,3.4743939933272685,-0.015498139651526799
9,0,3676ccc385079c643c77ac4a09de30f9af765a0b06d77fcf48ea8fbdc2f51185,4.04728862938866,4.076916895125578,-0.02962826573691757
10,0,b14433175ff4ce512bd0914ee0413429a3a165cbbc901cb40b4fc7016b141f90,3.897149289238996,3.9012825396250435,-0.0041332503860473935
11,0,45f51d4ff4c84df1080764abb7bc47a2bde536faa539b3744e8a0a6c9ac804fc,4.532072879366982,4.529195724692329,0.002877154674653326
12,0,4e62e9f8123955b0a8b4152114ed075b1e561b31f2376474fefe47baf1819c53,3.9974543885559797,3.976466396063131,0.02098799249284866
13,0,4f3bbe3264e2f3af80aab4832275e478403a6bb006a1a924090d5cec78a84096,3.7991225540811513,3.812166126992963,-0.013043572911811907
14,0,4e2de331bc45e37362de036a816b043b9b781e41a99cda12f4136661e8eb16b9,3.9336223312009224,3.946011242642385,-0.012388911441462369
15,0,78dc2662acca004d6dc14c40381c6db37e9d9e396acba2e09c0a40c074231c3b,3.7359418367936,3.719612782400702,0.016329054392898
16,0,a97c3c2aeef44950b7a829d0b85060ad775b21bb37df8f5cd0b73270fe1a4477,4.0079131967941635,4.03269083713559,-0.024777640341426377
17,0,665b8cd2208124a7c2eaf455f02d4b1e39a3264a9474c955777b425603966b0c,4.177029769518384,4.184249642894088,-0.007219873375703401
18,0,52c2ea731a1fb80913f9a8924ae6642c7f1fc9692627868c9f859fb0a20d820d,4.222957921554155,4.215375748830752,0.007582172723402891
19,0,38d1d1cb8d07be4f076202057d553d16068c9a79c4ed7dfc418144bc353cfbf4,4.310968940856242,4.31073219292594,0.00023674793030181718
20,0,f5c9bf5d2bb77c64ed3dc2dd05014908f95866448610cc5cafea2f6eaad9f72a,3.485511553570632,3.4618074830693075,0.02370407050132428
21,0,eb5992f0f01432789325a7dbf3886cfec7832a9b053c2b0f660205af80172cf0,4.003060536651674,4.044276626099418,-0.0412160894477438
22,0,e4c3b45635b8292f5e67a12f92d514b4fa10d851b66db083408c018fa8bc90b2,3.8896445257639414,3.9218542195403643,-0.03220969377642291
23,0,c2d035c3869138910622b0b2f3609be9baa5bec4f26afecebe8f836bf1e646eb,3.870289901024705,3.9191904075584176,-0.04890050653371247
24,0,0737f22e5f89194eab53c147cc81adfbe3f2ae0315bcaf1b87cd81dca5d513cc,3.8038707354327617,3.837186024683593,-0.03331528925083127
25,0,a2364b4cb94565deacd81fcb49c0a76d6cafb9543ae364dac677bd1a31a7ccb0,3.838752746937516,3.851283339298618,-0.012530592361102322
26,0,03a9c75d66e80e624902491c0f397157c49e50effa13d7504ee73706a1118133,4.045369236747291,4.049011094765433,-0.0036418580181418747
27,0,5acecfab5662aaa68a19b0f3b895f45ac4e8d743d89dc7df223d2ba7ae59c1b7,3.839947711822475,3.844130414244262,-0.004182702421786644
28,0,00fad2db6640fa75916b1c253ff87145983f674282c2d709077a6b35b8a05971,3.64940081941927,3.6547271098686167,-0.005326290449346516
29,0,6d85f81ef78d7e05745674468fbb1d7183f80f2129bb9f0ea7784623b5777fd3,3.9205231391689495,3.9502719188170516,-0.029748779648102186
30,0,38afaf66b322994211f61764fb786b6134417c6dfe0d1f0b5ceff353a8a7943b,4.048954446821654,4.039034736395934,0.00991971042572004
31,0,fefea07e997ee196c46b2ec8e2a985871cad37b771d3b98642ecba382149d1d2,3.750798626155344,3.732250785765558,0.018547840389786074
32,0,afaebc882189060872c10bea629a8a4c1c50ae8a99dbfad19f41620f801ebcc9,4.10212927394798,4.084425422782033,0.017703851165947526
33,0,3d53d1caabf7fa1251ab51dcc54c7cd715ab00c4cac160e2b91a1db68765eb39,3.972886656605354,3.989733982531419,-0.016847325926065082
34,0,20725f7fd410d10cadb50849dd524dc5f93a2c7fc43c9bb7e20088963314edc3,3.5700385054477692,3.560304328674391,0.009734176773378067
35,0,9ed90f24c02ebe3753eef2c33821d7cefd19d4bab1218b0c3c66e07d12721e2a,2.920471829716554,2.9380844925741485,-0.01761266285759433
36,0,fcf7e4e20854c93cab07bb31c0d0db82a50ea269594179bf9227d78573c4b8f9,3.447264414168444,3.4686815715597135,-0.02141715739126937
37,0,ebc1d09fa788d8209792310d34fa9c75b8bf90b66468d5dd603471bd35a98407,4.014146865906838,4.032579588733952,-0.01843272282711439
38,0,7be24b206cf885d5f6f434c10cddc8141980e530dfc5fa44953203dd398cfd30,3.6125568291829424,3.6197447443932305,-0.007187915210288054
39,0,47fbb0abf2df424d7efe1b63e0e922fc7554303366b9dfd0c12076baaa54dbeb,4.169703293184995,4.1784755383652055,-0.008772245180210803
40,0,f3103f056b4e07c570d813d9392036053949bb19e93213ac2b936f074b8b9309,3.780093778420053,3.7718304322083753,0.008263346211677458
41,0,29727e3254a48d62618cf7e3f67489e6dd91edea06f725edaa26710b3c6167ac,4.177246125612683,4.124794972913321,0.05245115269936207
42,0,aa1f461929a074db8dc3c4ae59f296d4a6f6688f455922a7c72f24223f7b5c57,4.001790109587173,4.009209102814594,-0.007418993227421566
43,0,f5426cd7b0b7ef21c49ad8739c15fa4713b9ee18b63a2182b73f56de3e53c3d4,4.019092230272463,4.010523639983376,0.008568590289087297
44,0,2e625cfa39ad8eeac438ba85930d9ce052e44642839e88e24a21cb08e279b4d2,4.10963311113354,4.1274391505548635,-0.017806039421323305
45,0,a5435a8280591e6c239f06948a436bf3260fda491ff8051ce223ba42ff4a9098,3.7398504679614746,3.7302637258195688,0.009586742141905802
46,0,b963032d872e61d132d7bcaa4a466fc95270b4373e49fa1543e32caeee5dfa7a,3.596566372489729,3.5592689247943383,0.03729744769539067
47,0,6efe959b9ed5091dcc4492105953d52ffbb372479f55df087c602a84a0e1927a,3.5663936840100945,3.573053037810581,-0.006659353800486656
48,0,10c1949382bd25ddf636ff5a7079d2c18f63bb10e52c3a00369598c7f5823d86,3.766370711628497,3.8055407112476587,-0.0391699996191619
49,0,57f048a47574517a844ba887854d11f88aa56b46a9bae6486da3134ec553c810,4.098247086182596,4.114108608544825,-0.015861522362229152
50,0,e839c07e8e2daafb3b9321c7899cdc58ca4127df41862eb3f701e88241ec0dbf,4.026816019218586,3.997431081018874,0.029384938199711996
51,0,d1de082a737b8d3f28de0175f319d775fcb51023d40569ffbd14ea3740d896e3,3.161420907027317,3.1387811992228194,0.022639707804497533
52,0,a738078811e028a2d6383ebf620ccbf1a560f881fe80f5c3d3f1ac2955fc5a6d,3.7437811567391748,3.73091705510177,0.012864101637404701
53,0,b8c799bfa31c72372145b91d76cfbdfa2ecd43d4f907eee9890da63042ac3b4e,3.847769872979164,3.847518644574727,0.00025122840443714267
54,0,102c61e6097c67ca8f700e0fc053c5411a2903f0a1638e2a703cde3ae35f7fc0,4.189120277741154,4.163829451798563,0.0252908259425908
55,0,ca27561804c820a5d9f83e6750eaf8eea9fc6cc1abefec5102d1a49d2d6584e5,3.8199283594718736,3.815539692669276,0.0043886668025976405
56,0,b737f9427acd3044cd1bf262363ed68300bb913bc3548c0b84da42390d1e2ee2,3.7566079694587557,3.8072935267319465,-0.050685557273190796
57,0,72138327eff02151a70f66f1a6dc3e80e22569860a0df623147f9917109d234e,4.00440931963827,4.055678558890477,-0.051269239252206944
58,0,43c82d19df7ea6e7c73d580b1a70a9891d894213327afc80d72a9933f5ff2f03,3.959034215290856,3.988349886000975,-0.02931567071011898
59,0,e1b68ca21a0340bea17b07c534e780ff44f38e391f525477bcc4f4b5782d1175,4.082477748338569,4.11000719904456,-0.02752945070599111
60,0,72b457d0bb50aff8c972844dc534fff8edd4f328c40e44f61e3ee61f63808e7b,3.529652416456358,3.5265576455859886,0.0030947708703692456
61,0,20e81378c6ef738621bc30b1aeeb5a12a34ae45c9b0a9ff8e662e07b6bd85b38,3.280957646040875,3.326602579004401,-0.04564493296352623
62,0,8f960a6242949edb296ef8e7ff437612d6ebd211b1e63a69e662af5e4af976b7,3.7200799786598893,3.7375067449614505,-0.01742676630156126
63,0,595fa6b5b1cec1cf28d41f8b6998a635f05beca3350e7bfd311832b057f0ee4d,3.8044141633923516,3.8127987328638824,-0.008384569471530767
64,1,6ec0842801e2f99efab6369a2b86ec4807f98261a64111c661c105ed3c007c27,4.121654829259924,4.1270986635285,-0.0054438342685756425
65,1,a18663687e6a6c24939ebeb4fc52fc412a01103e4749dcc3b336b85861c7c04a,4.314993274567996,4.353157539766244,-0.03816426519824745
66,1,b492f5f5e3627608c100aa2b220ca5bd48943b73846c0c18f2834eef93c393f2,4.626937895225296,4.575153875099488,0.05178402012580818
67,1,948296dc1ec1a930ad73578730db9e2e198fcf64f61dcebc5bc5aaf466574dc3,4.437052080862713,4.419635439451326,0.01741664141138699
68,1,dde794ffcf71c88808d5aae40f0f6899fc00012d8d8fd36a9677077e1378ac24,4.6622953550728425,4.671753404710216,-0.009458049637373733
69,1,71bd33471070a9d69d1ff723868131055bb615175fb851e4da636a0c0a2477bd,4.934239509064838,4.919296104936137,0.014943404128700877
70,1,fb0e90a8075d6d3e183e9fd89d796e7160a3dff2653437c3a81b9d7cf8f39b37,3.839815598247,3.844281056358426,-0.004465458111425846
71,1,603de87306656e1c0a73181120b01d1f16cef818ec953b9cab33967cb28f1242,5.002253398421544,5.054566161537423,-0.052312763115878624
72,1,3a71a0a8dff3eeba1289fe5e406d51bba7e30bc18c6f03d25c995e3908983061,5.6533060052151995,5.653077898587981,0.00022810662721894914
73,1,f12602de6d1b44d058d984fa43e1de3e7724239e03c95f07459f6297a04cd15e,5.665174965130518,5.647673941704284,0.017501023426234497
74,1,ad0c2b7a237677f9f296a88314bb74e266cfbea7b1d6f4ee8db4db8bfa96131b,5.5514385676242455,5.560011613596544,-0.008573045972298132
75,1,81ae3d14d4dd89e8f3c89947e5147079cedf46c123d9f51e238112f061cc4a4e,5.323328090684754,5.329319258958776,-0.0059911682740221295
76,1,0de2a7e0cef5625c20f81bfb1deea7edff3334c0a339953c6d71d050dfeeb723,5.521893494611959,5.507846131993119,0.014047362618839543
77,1,bad0941d33b7b6f81bedd791b43b7d2cc7333b1e586d2200e4bb36defbeea400,5.179650512742228,5.2105645788885795,-0.030914066146351615
78,1,7460f74c080a523c06d0e7974de81cdaa7dca63dbb0b4c582eb309176103c96c,5.43170798168012,5.431196494411097,0.0005114872690228367
79,1,5cc8c3ebae959b41c9b38f7164c71a39317d615263872bc0876d069c1aae80f2,5.881735165759892,5.900084436566431,-0.018349270806538698
80,1,e988be1a90632cc5771a7c73dabef2610b1b0c4cdab9d9c697ec40ca91526fa3,5.504507423703444,5.5414959103604815,-0.036988486657037356
81,1,28259d61d9f5c9b0c259aa61e0a89824f38097cd19ef976402297511ccd04c55,5.329157774707028,5.340341729397551,-0.011183954690523024
82,1,350e89aec6c273c1309fac9c86d40f75bb27817fbecee025f26ce2df10559f58,5.466309002842877,5.437793619709964,0.028515383132912575
83,1,2fd1ab76522452e85f0c84fa70e625526be229ebf3c16ece08313f51af66481a,5.406854334155923,5.410271017194191,-0.003416683038267365
84,1,ba9d6643a93116b7a1aa2e49aeaf84172f2c50fd276f1c41854d893191543b61,4.885588478199622,4.862195794860099,0.023392683339523046
85,1,c617a1abd81b517cc05bb01e9f93995b154b5c27c4e7356f89d48dc2de255afa,3.7990929929289905,3.7874701592570545,0.01162283367193595
86,1,082b7da2ef5a0f5b51e53cafa74f70fb92de056d5dc3d3049ba64030ef04b08a,3.6485238184100126,3.6878364599106987,-0.03931264150068614
87,1,693297fe1d0f40096df6d26db2eb1130b15898c76625f40d69f078a9cc2d27f3,4.186244467519494,4.19582049087785,-0.009576023358356167
88,1,1364a1c7c0e28add81b3324659173991a74903c2d3a2f1e57a89984a568fcda4,3.6980636372702236,3.6761507939744433,0.02191284329578025
89,1,9c726f16aabc91b48f62b2507c4f7a5dcfabe0cb6481113bb870c3aeb9b7b213,4.712770155142152,4.749788600900956,-0.037018445758803864
90,1,d4405ee42c13c0d5051f514b20bd41efbe4890bd0bd1e0cdabf6c59286e03329,4.496403523644176,4.526407887969981,-0.030004364325805
91,1,50e0bfbcb29a96e0f16f590681249c41af1d735e5068dc9c78a04d71acbbb074,4.74628176137594,4.783013325914453,-0.03673156453851334
92,1,80b7799133526fe525d8f8c2bed7713751a496a18d585ca02b167a0118242273,4.853195133552958,4.851094265078586,0.002100868474371964
93,1,886d09362a5263723f468f9dde1bfd02485368eb1510a9f7c0d3d1079d256ea6,4.777799544098798,4.774265330396702,0.0035342137020961673
