checkpoint,alpha,real_loss,shuffled_loss,specific_gap,real_wins,shuffled_wins,ties
C0_2B2_5M,0.0,5.336645770072937,5.336645770072937,0.0,0,0,20
C0_2B2_5M,0.25,5.369026303291321,5.394803357124329,0.02577705383300799,20,0,0
C0_2B2_5M,0.5,5.427347421646118,5.470061874389648,0.04271445274352992,20,0,0
C0_2B2_5M,1.0,5.590033102035522,5.625972080230713,0.03593897819519043,20,0,0
C0_2B2_5M,2.0,6.392568778991699,5.993219113349914,-0.3993496656417852,0,20,0
C1_2B2A_10M,0.0,5.145285630226136,5.145285630226136,0.0,0,0,20
C1_2B2A_10M,0.25,5.1704826831817625,5.196997952461243,0.026515269279480336,20,0,0
C1_2B2A_10M,0.5,5.218384051322937,5.261205506324768,0.04282145500183088,20,0,0
C1_2B2A_10M,1.0,5.36134774684906,5.4016084432601925,0.04026069641113228,20,0,0
C1_2B2A_10M,2.0,6.031792497634887,5.759246444702148,-0.27254605293273926,0,20,0
C2_2B2A_15M,0.0,4.9464744329452515,4.9464744329452515,0.0,0,0,20
C2_2B2A_15M,0.25,4.9633262872695925,4.987944507598877,0.024618220329284846,20,0,0
C2_2B2A_15M,0.5,4.9923415184021,5.027976393699646,0.03563487529754639,20,0,0
C2_2B2A_15M,1.0,5.0959878206253055,5.125001215934754,0.029013395309448242,20,0,0
C2_2B2A_15M,2.0,5.57871401309967,5.423954129219055,-0.15475988388061523,0,20,0
C3_2B3_FINAL,0.0,4.777687311172485,4.777687311172485,0.0,0,0,20
C3_2B3_FINAL,0.25,4.779475927352905,4.798031139373779,0.018555212020873846,20,0,0
C3_2B3_FINAL,0.5,4.775920343399048,4.798498725891113,0.022578382492064897,20,0,0
C3_2B3_FINAL,1.0,4.814190459251404,4.817693614959717,0.003503155708313166,16,4,0
C3_2B3_FINAL,2.0,5.200059342384338,5.046292090415955,-0.15376725196838326,0,20,0
