checkpoint,stage,generic_recovery_retention,specific_gap_alpha_1,specific_gap_alpha_2
C0_2B2_5M,2B2 5M,1.6605251417994478,0.03593897819519043,-0.3993496656417852
C1_2B2A_10M,2B2A 10M,1.352869511902563,0.04026069641113228,-0.27254605293273926
C2_2B2A_15M,2B2A 15M,1.1703545165307192,0.029013395309448242,-0.15475988388061523
C3_2B3_FINAL,2B3 final,1.0314829517698083,0.003503155708313166,-0.15376725196838326
