ce,count,id,nll
2.907260666118729,1024,0,2977.0349221055785
3.042823583642413,1024,1,3115.851349649831
2.915584335459739,1024,2,2985.558359510773
2.733263075623668,1024,3,2798.8613894386363
3.2002745455826442,1024,4,3277.0811346766277
3.5481690012589127,1024,5,3633.3250572891266
3.0734210725688484,1024,6,3147.183178310501
2.69753236112577,1024,7,2762.2731377927885
2.4130192723692527,1024,8,2470.931734906115
2.4505708754838054,1024,9,2509.3845764954167
2.4845807647133427,1024,10,2544.210703066463
2.3496619665820333,1024,11,2406.053853780002
2.4174294151690674,1024,12,2475.447721133125
2.451051705997754,1024,13,2509.8769469417
2.568021054694711,1024,14,2629.653560007384
2.8087551089357703,1024,15,2876.165231550229
3.142993536851222,1024,16,3218.425381735651
3.546185533049936,1024,17,3631.2939858431346
2.818938009996586,1024,18,2886.592522236504
3.0719301088539623,1024,19,3145.6564314664574
3.4457229197550987,1024,20,3528.420269829221
3.7284966377860087,1024,21,3817.980557092873
3.702887933628972,1024,22,3791.7572440360673
3.2747531954410647,1024,23,3353.3472721316502
2.8576849826597535,1024,24,2926.2694222435875
2.9081562921118405,1024,25,2977.9520431225246
2.421052036393185,1024,26,2479.1572852666213
2.257599989297745,1024,27,2311.782389040891
2.6198601148729885,1024,28,2682.7367576299403
2.40088491988997,1024,29,2458.5061579673293
2.9030731856435565,1024,30,2972.746942099002
3.103484577131894,1024,31,3177.9682069830596
3.191578760089868,1024,32,3268.176650332025
3.2991193143361186,1024,33,3378.2981778801854
2.6069563076889395,1024,34,2669.523259073474
2.674485480416692,1024,35,2738.6731319466926
2.1548221747387544,1024,36,2206.5379069324845
1.7156793133492059,1024,37,1756.8556168695868
1.5785356353898878,1024,38,1616.4204906392451
1.9083181096724195,1024,39,1954.1177443045576
2.45115693781266,1024,40,2509.984704320164
2.8232373225089837,1024,41,2890.9950182491993
3.5432755114409247,1024,42,3628.314123715507
3.3911014846075886,1024,43,3472.487920238171
3.674746813130085,1024,44,3762.940736645207
2.6282377112666557,1024,45,2691.3154163370555
2.5209034967913553,1024,46,2581.405180714348
2.648204644081737,1024,47,2711.7615555396987
2.7828508612095995,1024,48,2849.63928187863
3.2674188789252057,1024,49,3345.8369320194106
3.190050480159343,1024,50,3266.611691683167
3.0177133006054646,1024,51,3090.1384198199958
2.810831347474519,1024,52,2878.2912998139072
1.835974708913506,1024,53,1880.03810192743
2.5073941152790837,1024,54,2567.5715740457817
3.0699414885723257,1024,55,3143.6200842980616
3.1377386340775217,1024,56,3213.0443612953823
2.8295945743680164,1024,57,2897.504844152849
2.948138536208141,1024,58,3018.8938610771365
3.17991700780415,1024,59,3256.2350159914495
2.702449781073156,1024,60,2767.308575818912
2.787502933962344,1024,61,2854.40300437744
2.6212804808971093,1024,62,2684.19121243864
2.994819163911039,1024,63,3066.694823844904
3.053356749986591,1024,64,3126.637311986269
3.6072158107741075,1024,65,3693.788990232686
3.1896317401991396,1024,66,3266.182901963919
2.1230865038568254,1024,67,2174.040579949389
3.1774282037980157,1024,68,3253.686480689168
3.3836790064501088,1024,69,3464.8873026049114
2.786519852171068,1024,70,2853.3963286231738
3.179901961843015,1024,71,3256.2196089272475
3.7645532602633125,1024,72,3854.902538509632
3.713752650009525,1024,73,3802.8827136097534
3.102679954079669,1024,74,3177.144272977581
2.790279274986716,1024,75,2857.245977586397
2.885648024811207,1024,76,2954.903577406676
3.280433538002285,1024,77,3359.1639429143397
3.493509354958917,1024,78,3577.353579477931
2.7807915703799253,1024,79,2847.5305680690435
2.8330668235026693,1024,80,2901.0604272667333
3.0069249805512754,1024,81,3079.091180084506
2.9137516928715286,1024,82,2983.6817335004453
2.961182233532524,1024,83,3032.2506071373045
2.798203267795799,1024,84,2865.360146222898
2.2156323523179493,1024,85,2268.80752877358
2.981864290367156,1024,86,3053.4290333359677
2.7828554755296864,1024,87,2849.644006942399
3.0820952723395862,1024,88,3156.0655588757363
2.977762165263954,1024,89,3049.2284572302888
3.096742991226961,1024,90,3171.064823016408
