key,examples,seconds,examples_per_second
final:G:ce,4096,243.33465361595154,16.83278538068238
final:H:ce,4096,322.58889651298523,12.697275213981591
final:G:hella,10042,80.49888777732849,124.74706517408808
hella:19072,10042,109.02279925346375,92.10917412470454
