ce,count,id,nll
3.5019515402450168,1024,0,3585.998377210897
3.385409429327524,1024,1,3466.6592556313844
2.7718049085379874,1024,2,2838.328226342899
2.900050839009701,1024,3,2969.652059145934
3.063400856190242,1024,4,3136.9224767388077
2.932077531815054,1024,5,3002.447392578615
3.422164746390422,1024,6,3504.296700303792
3.036767471738443,1024,7,3109.649891060166
2.492476350999212,1024,8,2552.295783423193
2.8116840754241217,1024,9,2879.1644932343006
3.1396355009498222,1024,10,3214.986752972618
2.6408218907720027,1024,11,2704.2016161505308
2.6622643431295323,1024,12,2726.158687364641
3.170731397889856,1024,13,3246.8289514392127
3.378839702595343,1024,14,3459.931855457631
3.0147959482829094,1024,15,3087.1510510416992
2.626466601787257,1024,16,2689.5018002301513
2.9580541190162997,1024,17,3029.047417872691
2.851024406524939,1024,18,2919.4489922815374
2.687738920149309,1024,19,2752.2446542328926
3.063698487213742,1024,20,3137.2272509068716
3.2683600043298924,1024,21,3346.80064443381
3.0642439383776097,1024,22,3137.7857928986723
2.90691061833574,1024,23,2976.6764731757976
2.668510809667069,1024,24,2732.5550690990785
3.540353047802668,1024,25,3625.321520949932
3.422587103892134,1024,26,3504.7291943855453
2.986088589165554,1024,27,3057.7547153055275
2.896859054162473,1024,28,2966.383671462372
3.192288081445824,1024,29,3268.9029954005237
3.2054229740163294,1024,30,3282.3531253927213
3.068252634658414,1024,31,3141.890697890216
3.2875515204311228,1024,32,3366.4527569214697
3.044760203327769,1024,33,3117.8344482076354
3.011314315548475,1024,34,3083.5858591216384
2.6511317096295777,1024,35,2714.7588706606875
3.201131548156887,1024,36,3277.9587053126525
2.7743084405778973,1024,37,2840.891843151767
2.595227793356514,1024,38,2657.5132603970706
3.167594601783634,1024,39,3243.616872226441
2.7661866576840453,1024,40,2832.5751374684623
2.621000849970688,1024,41,2683.9048703699846
2.5182100775201093,1024,42,2578.647119380592
3.0567016170969055,1024,43,3130.062455907231
3.4919672722179627,1024,44,3575.7744867511938
2.8727490848076584,1024,45,2941.6950628430423
2.810127864584672,1024,46,2877.570933334704
2.713251836487615,1024,47,2778.3698805633176
3.261129487459698,1024,48,3339.3965951587306
3.5429740280149247,1024,49,3628.005404687283
3.1339735507470223,1024,50,3209.188915964951
3.2631437418267524,1024,51,3341.4591916305944
