model,updates,ce,training_hours,training_gpu_hours,gpu_count
G historical,0,10.951632499694824,0.0,0.0,1
G historical,250,6.172884464263916,0.23321053081088597,0.23321053081088597,1
G historical,500,5.302623748779297,0.46738415128654903,0.46738415128654903,1
G historical,750,4.588188648223877,0.7009657048516803,0.7009657048516803,1
G historical,1000,4.13529109954834,0.9347989594274096,0.9347989594274096,1
G historical,1250,3.947545051574707,1.1699390604098638,1.1699390604098638,1
G historical,1500,3.8081088066101074,1.4042256206936305,1.4042256206936305,1
G historical,1750,3.719972848892212,1.6389523786968656,1.6389523786968656,1
G historical,2000,3.6628191471099854,1.8736948050392999,1.8736948050392999,1
G historical,2250,3.604698419570923,2.1082143546475303,2.1082143546475303,1
G historical,2500,3.57065486907959,2.347778516146872,2.347778516146872,1
G historical,2750,3.5336556434631348,2.5866557900773155,2.5866557900773155,1
G historical,3000,3.501028299331665,2.8237595500548682,2.8237595500548682,1
G historical,3250,3.4832711219787598,3.0620145476526686,3.0620145476526686,1
G historical,3500,3.4571382999420166,3.298084428244167,3.298084428244167,1
G historical,3750,3.431924819946289,3.533980492618349,3.533980492618349,1
G historical,4000,3.411257266998291,3.7678464182217914,3.7678464182217914,1
G historical,4250,3.3997445106506348,4.002187594374021,4.002187594374021,1
G historical,4500,3.3856475353240967,4.236144099500444,4.236144099500444,1
G historical,4750,3.369426727294922,4.47016987197929,4.47016987197929,1
G historical,5000,3.3541946411132812,4.704335962202814,4.704335962202814,1
G historical,5250,3.3383843898773193,4.939226932922999,4.939226932922999,1
G historical,5500,3.3402554988861084,5.174620188739564,5.174620188739564,1
G historical,5750,3.3214104175567627,5.411882829666138,5.411882829666138,1
G historical,6000,3.311382532119751,5.647454157074293,5.647454157074293,1
G historical,6250,3.2953617572784424,5.88293326722251,5.88293326722251,1
G historical,6500,3.2846784591674805,6.119507802526156,6.119507802526156,1
G historical,6750,3.2783584594726562,6.355561547941631,6.355561547941631,1
G historical,7000,3.2722558975219727,6.595725187526809,6.595725187526809,1
G historical,7250,3.262150287628174,6.841949347654978,6.841949347654978,1
G historical,7500,3.2529468536376953,7.091488074329164,7.091488074329164,1
G historical,7750,3.2479143142700195,7.336518511838383,7.336518511838383,1
G historical,8000,3.2428786754608154,7.57503298593892,7.57503298593892,1
G historical,8250,3.235905170440674,7.812976393302281,7.812976393302281,1
G historical,8500,3.226486921310425,8.050540203120974,8.050540203120974,1
G historical,8750,3.221295118331909,8.288541357252333,8.288541357252333,1
G historical,9000,3.214268445968628,8.527814143763647,8.527814143763647,1
G historical,9250,3.209632635116577,8.765568426715003,8.765568426715003,1
G historical,9500,3.2048113346099854,9.002563598818249,9.002563598818249,1
G historical,9750,3.1958887577056885,9.240541502038639,9.240541502038639,1
G historical,10000,3.193807601928711,9.477359920144082,9.477359920144082,1
G historical,10250,3.186931848526001,9.71468309018347,9.71468309018347,1
G historical,10500,3.177858352661133,9.952865082754029,9.952865082754029,1
G historical,10750,3.1749508380889893,10.188023316926426,10.188023316926426,1
G historical,11000,3.172661542892456,10.422945130334961,10.422945130334961,1
G historical,11250,3.166067600250244,10.658012817568249,10.658012817568249,1
G historical,11500,3.1601433753967285,10.893137025369539,10.893137025369539,1
G historical,11750,3.1556644439697266,11.12817450152503,11.12817450152503,1
G historical,12000,3.1521201133728027,11.363705957664385,11.363705957664385,1
G historical,12250,3.1459851264953613,11.600288484427663,11.600288484427663,1
G historical,12500,3.1438097953796387,11.835902159280247,11.835902159280247,1
G historical,12750,3.1385624408721924,12.071401197446717,12.071401197446717,1
G historical,13000,3.13494873046875,12.30623558514648,12.30623558514648,1
G historical,13250,3.1309447288513184,12.541162534621026,12.541162534621026,1
G historical,13500,3.1275293827056885,12.776246838238505,12.776246838238505,1
G historical,13750,3.1238958835601807,13.012135595348147,13.012135595348147,1
G historical,14000,3.1210777759552,13.249345501528845,13.249345501528845,1
G historical,14250,3.118436098098755,13.48575576570299,13.48575576570299,1
G historical,14500,3.1162421703338623,13.720889060497283,13.720889060497283,1
G historical,14750,3.113830327987671,13.955716021789446,13.955716021789446,1
G historical,15000,3.1086585521698,14.190839137766096,14.190839137766096,1
G historical,15250,3.1055305004119873,14.426322776079179,14.426322776079179,1
G historical,15500,3.103943347930908,14.661356769733958,14.661356769733958,1
G historical,15750,3.0997960567474365,14.896152601175839,14.896152601175839,1
G historical,16000,3.099766969680786,15.131162913839022,15.131162913839022,1
G historical,16250,3.0986738204956055,15.366407486067878,15.366407486067878,1
G historical,16500,3.095242500305176,15.60213832365142,15.60213832365142,1
G historical,16750,3.0925543308258057,15.837228694094552,15.837228694094552,1
G historical,17000,3.090104818344116,16.072413569755025,16.072413569755025,1
G historical,17250,3.0884318351745605,16.307510742346444,16.307510742346444,1
G historical,17500,3.0867080688476562,16.54287101056841,16.54287101056841,1
G historical,17750,3.086843729019165,16.777072374688256,16.777072374688256,1
G historical,18000,3.085437536239624,17.010838819675975,17.010838819675975,1
G historical,18250,3.084460973739624,17.2449937374062,17.2449937374062,1
G historical,18500,3.0835819244384766,17.478693809774185,17.478693809774185,1
G historical,18750,3.082190752029419,17.71227443781164,17.71227443781164,1
G historical,19000,3.075796365737915,17.945996744235355,17.945996744235355,1
G historical,19072,3.0750441551208496,18.026571880910133,18.026571880910133,1
H fresh,0,10.975830660901556,0.0,0.0,4
H fresh,250,6.051219226143271,0.17740603976779515,0.7096241590711806,4
H fresh,500,5.059006919898644,0.354920620587137,1.419682482348548,4
H fresh,750,4.421081392897241,0.5325663252009286,2.1302653008037145,4
H fresh,1000,4.052053325275326,0.7101813713047239,2.8407254852188957,4
H fresh,2000,3.6106201912402804,1.420866804520289,5.683467218081156,4
H fresh,3000,3.4606252243285973,2.1319336014323764,8.527734405729506,4
H fresh,4000,3.377420325934403,2.842450309726927,11.369801238907709,4
H fresh,5000,3.3217639684349107,3.553406638171938,14.213626552687751,4
H fresh,6000,3.278148115110869,4.264617814024289,17.058471256097157,4
H fresh,7000,3.2423684199208567,4.9721667241387895,19.888666896555158,4
H fresh,8000,3.215185799667485,5.680131112800704,22.720524451202817,4
H fresh,9000,3.187654675048747,6.387470872402191,25.549883489608764,4
H fresh,10000,3.1697396811737177,7.095047155751122,28.38018862300449,4
H fresh,11000,3.146580588206383,7.802786171966129,31.211144687864515,4
H fresh,12000,3.1281598126422923,8.51211013827059,34.04844055308236,4
H fresh,13000,3.110051273552689,9.22069994840357,36.88279979361428,4
H fresh,14000,3.0966195341037297,9.929319314360619,39.717277257442476,4
H fresh,15000,3.084565086676718,10.637784397734537,42.55113759093815,4
H fresh,16000,3.076083856923946,11.346893655922678,45.38757462369071,4
H fresh,17000,3.066945298124478,12.056252224908935,48.22500889963574,4
H fresh,18000,3.061910749107646,12.76551055709521,51.06204222838084,4
H fresh,19000,3.0527433388815686,13.474068899949392,53.89627559979757,4
H fresh,19072,3.051675995924876,13.525377046267192,54.10150818506877,4
