step,tokens_billion,train_loss,val_loss,hellaswag_accuracy,lr,grad_norm
0,0.0,,10.951632499694824,0.24815773750248954,,
250,0.131072,6.136594772338867,6.172884464263916,0.24477195777733518,0.0002097902097902098,0.9942708015441895
500,0.262144,5.127891540527344,5.302623748779297,0.24158534156542522,0.0004195804195804196,0.9033510684967041
750,0.393216,4.614208221435547,4.588188648223877,0.24606652061342363,0.000599995429755952,0.644242525100708
1000,0.524288,4.065071105957031,4.13529109954834,0.2550288787094204,0.0005996811885015914,0.4276881515979767
1250,0.65536,3.7816102504730225,3.947545051574707,0.2561242780322645,0.000598873417377598,0.44134414196014404
1500,0.786432,3.885413646697998,3.8081088066101074,0.25731925911173076,0.0005975735946449504,0.3475264012813568
1750,0.917504,3.6722097396850586,3.719972848892212,0.2590121489743079,0.0005957840990433272,0.2992261052131653
2000,1.048576,3.671699285507202,3.6628191471099854,0.26070503883688506,0.0005935082054378978,0.35431474447250366
2250,1.179648,3.6233246326446533,3.604698419570923,0.26199960167297354,0.0005907500788261565,0.29141929745674133
2500,1.31072,3.300297260284424,3.57065486907959,0.26309500099581756,0.0005875147667157722,0.2740452289581299
2750,1.441792,3.5575387477874756,3.5336556434631348,0.2656841266679944,0.0005838081898874004,0.3444308042526245
3000,1.572864,3.5451555252075195,3.501028299331665,0.26618203545110536,0.000579637131559363,0.2653906047344208
3250,1.703936,3.4082350730895996,3.4832711219787598,0.2681736705835491,0.000575009224974024,0.2568854093551636
3500,1.835008,3.5004985332489014,3.4571382999420166,0.27215694084843656,0.0005699329394285803,0.3859146237373352
3750,1.96608,3.432494878768921,3.431924819946289,0.26996614220274845,0.0005644175647758288,0.2791001796722412
4000,2.097152,3.357680320739746,3.411257266998291,0.2740489942242581,0.0005584731944232801,0.27237820625305176
4250,2.228224,3.3682451248168945,3.3997445106506348,0.27155945030870343,0.0005521107068617234,0.29562970995903015
4500,2.359296,3.3569817543029785,3.3856475353240967,0.2755427205735909,0.0005453417457570524,0.2778167724609375
4750,2.490368,3.152111291885376,3.369426727294922,0.27504481179047996,0.0005381786986417834,0.25386297702789307
5000,2.62144,3.370335578918457,3.3541946411132812,0.27524397530372435,0.0005306346742452593,0.33273428678512573
5250,2.752512,3.278262138366699,3.3383843898773193,0.27902808205536744,0.0005227234785040292,0.30737364292144775
5500,2.883584,3.074921131134033,3.3402554988861084,0.27902808205536744,0.0005144595892963036,0.29931527376174927
5750,3.014656,3.3652682304382324,3.3214104175567627,0.280920135431189,0.0005058581299467238,0.3416513502597809
6000,3.145728,3.3146896362304688,3.311382532119751,0.27962557259510057,0.000496934841549932,0.28870081901550293
6250,3.2768,3.290179967880249,3.2953617572784424,0.28161720772754434,0.00048770605416359247,0.27992063760757446
6500,3.407872,3.2692983150482178,3.2846784591674805,0.27962557259510057,0.0004781886569235806,0.305595725774765
6750,3.538944,3.3081181049346924,3.2783584594726562,0.28121888070105555,0.0004684000671360317,0.28396835923194885
7000,3.670016,3.254560708999634,3.2722558975219727,0.2806213901613224,0.00045835819840281264,0.26669400930404663
7250,3.801088,3.281968116760254,3.262150287628174,0.28141804421429994,0.0004480814278387465,0.3003822863101959
7500,3.93216,3.2487895488739014,3.2529468536376953,0.28450507866958774,0.00043758856244058714,0.29628410935401917
7750,4.063232,3.205538272857666,3.2479143142700195,0.2815176259709221,0.000426898804669288,0.28649505972862244
8000,4.194304,3.21063232421875,3.2428786754608154,0.28251344353714397,0.0004160317173085514,0.2725204825401306
8250,4.325376,3.180286169052124,3.235905170440674,0.2835092611033659,0.00040500718766397034,0.29409652948379517
8500,4.456448,3.237926959991455,3.226486921310425,0.28340967934674366,0.00039384539116827896,0.34200912714004517
8750,4.58752,3.240107536315918,3.221295118331909,0.2848038239394543,0.0003825667544593158,0.31323176622390747
9000,4.718592,3.259702444076538,3.214268445968628,0.28440549691296557,0.00037119191799826957,0.28894513845443726
9250,4.849664,3.1995744705200195,3.209632635116577,0.28649671380203146,0.0003597416982966177,0.2584145963191986
9500,4.980736,3.227073907852173,3.2048113346099854,0.2891854212308305,0.0003482370498208844,0.28800222277641296
9750,5.111808,3.1881630420684814,3.1958887577056885,0.2865962955586537,0.0003366990266449334,0.25555622577667236
10000,5.24288,3.177708864212036,3.193807601928711,0.28818960366460866,0.00032514874391997536,0.2539202570915222
10250,5.373952,3.141576051712036,3.186931848526001,0.2909778928500299,0.00031360733923279966,0.29819661378860474
10500,5.505024,3.172987461090088,3.177858352661133,0.2884883489344752,0.0003020959339229492,0.29823005199432373
10750,5.636096,3.1433660984039307,3.1749508380889893,0.28739294961163114,0.0002906355944296272,0.32792341709136963
11000,5.767168,3.2351629734039307,3.172661542892456,0.287293367855009,0.0002792472937390756,0.27210596203804016
11250,5.89824,3.1756680011749268,3.166067600250244,0.2920732921728739,0.00026795187300297546,0.30407869815826416
11500,6.029312,3.1326308250427246,3.1601433753967285,0.2896833300139414,0.00025677000339811265,0.30540814995765686
11750,6.160384,3.153346300125122,3.1556644439697266,0.29197371041625175,0.00024572214829710504,0.28620171546936035
12000,6.291456,3.102489948272705,3.1521201133728027,0.2920732921728739,0.00023482852581942196,0.2863158881664276
12250,6.422528,3.1379613876342773,3.1459851264953613,0.2925712009559849,0.0002241090718312284,0.3025588393211365
12500,6.5536,3.130784511566162,3.1438097953796387,0.29376618203545113,0.00021358340346176792,0.28190043568611145
12750,6.684672,3.0762550830841064,3.1385624408721924,0.29067914758016333,0.00020327078320304807,0.26159951090812683
13000,6.815744,3.0961666107177734,3.13494873046875,0.2951603266281617,0.00019319008365853137,0.2946528196334839
13250,6.946816,3.0984840393066406,3.1309447288513184,0.2949611631149173,0.00018335975300534007,0.29085421562194824
13500,7.077888,3.13541579246521,3.1275293827056885,0.29346743676558457,0.00017379778123318264,0.3209904730319977
13750,7.20896,3.14288330078125,3.1238958835601807,0.2962557259510058,0.0001645216672217859,0.2820795178413391
14000,7.340032,3.02427339553833,3.1210777759552,0.29994025094602667,0.00015554838671708209,0.2837024927139282
14250,7.471104,3.044699192047119,3.118436098098755,0.2940649273053177,0.00014689436126475727,0.27518245577812195
14500,7.602176,3.0801005363464355,3.1162421703338623,0.29715196176060543,0.00013857542815801321,0.3137837052345276
14750,7.733248,3.1594185829162598,3.113830327987671,0.29864568810993825,0.00013060681145453992,0.37138766050338745
15000,7.86432,3.1039321422576904,3.1086585521698,0.29635530770762797,0.00012300309411573956,0.30810752511024475
15250,7.995392,3.049924612045288,3.1055305004119873,0.29954192391953793,0.00011577819131918836,0.3084457516670227
15500,8.126464,3.0887649059295654,3.103943347930908,0.2982473610834495,0.00010894532499317528,0.2941441535949707
15750,8.257536,3.0659825801849365,3.0997960567474365,0.2989444333798048,0.00010251699961992199,0.3450257182121277
16000,8.388608,3.065937042236328,3.099766969680786,0.3004381597291376,9.650497935176334e-05,0.29681602120399475
16250,8.51968,3.0499608516693115,3.0986738204956055,0.2989444333798048,9.092026648216921e-05,0.28522518277168274
16500,8.650752,3.049224853515625,3.095242500305176,0.3016331408086039,8.57730813110047e-05,0.4114760458469391
16750,8.781824,3.0836567878723145,3.0925543308258057,0.29954192391953793,8.107284344087765e-05,0.3290177285671234
17000,8.912896,3.0538642406463623,3.090104818344116,0.30033857797251545,7.682815453880149e-05,0.3106679916381836
17250,9.043968,3.0968074798583984,3.0884318351745605,0.300637323242382,7.304678259472072e-05,0.5109560489654541
17500,9.17504,3.0532612800598145,3.0867080688476562,0.2989444333798048,6.9735647705706e-05,0.4003973603248596
17750,9.306112,3.039578676223755,3.086843729019165,0.2996415056761601,6.690080941183581e-05,0.46485814452171326
