condition,mean_delta_ce,ci95_low,ci95_high,ci9875_low,ci9875_high,group_ci9875_low,group_ci9875_high,relative_perplexity_percent
H_B1_OFF,0.00036026279590955633,0.0003060944751844393,0.00041489335859733184,0.00029125307382398555,0.00043020795494123546,0.0002691462926124866,0.0004595489784131529,0.03603276983443582
H_B3_OFF,0.0006103726231460379,0.0005573786240751768,0.0006635225603684534,0.0005439088204782576,0.0006786924912230811,0.0005390502422892847,0.0006820553112778898,0.061055893842090043
H_B5_OFF,0.0002618693432161478,0.00022217795498223362,0.0003022779012818108,0.00021149522547997046,0.00031325071881144087,0.00020619215339648468,0.00031791977905110656,0.02619036339857745
H_ALL_OFF,0.0008971477011212486,0.0008289674944729663,0.0009655239266093997,0.0008107938744185115,0.0009840836221958462,0.0007948022880464486,0.0010061060428808927,0.08975502584955357
