tokens,completed_optimizer_updates,destination,eligible_source_count,entropy_nats,maximum_entropy_nats,normalized_entropy
100139008,191,Block 1 Attention input,1,0.0,0.0,0.0
100139008,191,Block 1 Mlp input,2,0.6762988090515137,0.6931471805599453,0.9756929379777309
100139008,191,Block 2 Attention input,3,1.0906523764133453,1.0986122886681098,0.9927545756252057
100139008,191,Block 2 Mlp input,4,1.3503422439098358,1.3862943611198906,0.9740660293957977
100139008,191,Block 3 Attention input,5,1.6075327634811403,1.6094379124341003,0.9988162643999863
100139008,191,Block 3 Mlp input,6,1.7541789948940278,1.791759469228055,0.979025937923343
100139008,191,Block 4 Attention input,7,1.9421711385250093,1.9459101490553132,0.9980785286863738
100139008,191,Block 4 Mlp input,8,2.0284743309020996,2.0794415416798357,0.9754899525876725
100139008,191,Block 5 Attention input,9,2.1926998496055603,2.1972245773362196,0.9979407076648739
100139008,191,Block 5 Mlp input,10,2.2634775519371035,2.302585092994046,0.983015810718165
100139008,191,Block 6 Attention input,11,2.3968857288360597,2.3978952727983707,0.9995789874671496
100139008,191,Block 6 Mlp input,12,2.4521942853927614,2.4849066497880004,0.9868355761380293
100139008,191,Block 7 Attention input,13,2.5571847319602967,2.5649493574615367,0.9969727957869217
100139008,191,Block 7 Mlp input,14,2.60906754732132,2.6390573296152584,0.9886361762749918
100139008,191,Block 8 Attention input,15,2.701831448078156,2.70805020110221,0.9977036049695375
100139008,191,Block 8 Mlp input,16,2.741216051578522,2.772588722239781,0.9886847009043896
100139008,191,Block 9 Attention input,17,2.8259793996810916,2.833213344056216,0.9974467350331028
100139008,191,Block 9 Mlp input,18,2.838705039024353,2.8903717578961645,0.9821245420314312
100139008,191,Block 10 Attention input,19,2.93872047662735,2.9444389791664403,0.9980578634573337
100139008,191,Block 10 Mlp input,20,2.9371662855148317,2.995732273553991,0.9804501929107038
100139008,191,Block 11 Attention input,21,3.0381261229515077,3.044522437723423,0.9978990745173492
100139008,191,Block 11 Mlp input,22,3.0132519960403443,3.091042453358316,0.974833584950134
100139008,191,Block 12 Attention input,23,3.1273673057556155,3.1354942159291497,0.9974080927554427
100139008,191,Block 12 Mlp input,24,3.1224372863769534,3.1780538303479458,0.9824998105948056
100139008,191,Final LN input,25,3.18726019859314,3.2188758248682006,0.990178053458662
