source_index,source_residual,human_readable_source,normal_validation_loss,masked_validation_loss,delta_loss,final_mean_weight_when_eligible,final_max_weight_when_eligible,eligible_destinations,source_zero_limitation
0,v0,Embedding,4.031627452373505,7.583286499977113,3.551659047603608,0.17696386810392142,1.0,25,True
20,v20,Block 10 MLP,4.031627452373505,4.1607897043228155,0.1291622519493103,0.0701259096339345,0.07658878453075886,5,False
16,v16,Block 8 MLP,4.031627452373505,4.136947023868561,0.10531957149505544,0.06448177546262741,0.08814951665699483,9,False
24,v24,Block 12 MLP,4.031627452373505,4.127351236343383,0.09572378396987791,0.05749471634626389,0.05749471634626389,1,False
12,v12,Block 6 MLP,4.031627452373505,4.111421549320221,0.07979409694671613,0.04719164130779413,0.13415180668234825,13,False
4,v4,Block 2 MLP,4.031627452373505,4.094477725028992,0.0628502726554867,0.059415427205108465,0.1790153779089451,21,False
8,v8,Block 4 MLP,4.031627452373505,4.067571175098419,0.035943722724914196,0.028201538800974105,0.0771824073046446,17,False
