tokens,completed_optimizer_updates,query_norm_min_all_routers,query_norm_min_learned_routers,query_norm_median,query_norm_max,entropy_min,entropy_median,entropy_max,normalized_entropy_median
100139008,191,0.0,0.020170720294117928,0.052090391516685486,0.07695278525352478,0.0,2.5571847319602967,3.18726019859314,0.9886847009043896
250085376,477,0.0,0.060145966708660126,0.1060495525598526,0.15670068562030792,0.0,2.3132396578788756,3.0712733387947084,0.9312704423107075
374865920,715,0.0,0.08459223061800003,0.14461246132850647,0.2324821501970291,0.0,2.2277186393737796,2.981036949157715,0.892830372525618
500170752,954,0.0,0.10255731642246246,0.1669042706489563,0.26685473322868347,0.0,2.220910477638245,2.86056501865387,0.8853097494698395
