completed_updates,tokens,real_feedback_loss,shuffled_feedback_loss,real_minus_shuffled,total_recovery_fraction,sequence_specific_recovery_fraction,sequence_specific_share_of_total_recovery,gate,gate_coefficient,query_norm,rmsnorm_displacement,routing_entropy,normalized_routing_entropy,weight_v16,weight_v17,weight_v20,weight_v24
10,5242880,5.953305101394653,5.961796236038208,-0.008491134643554688,0.010748902817503058,0.004480762359674034,0.4168576491712019,0.005997640546411276,0.0059975688345730305,0.12489541620016098,0.09010037779808044,1.289204376935959,0.929964380648927,0.2712061688303947,0.2516491822898388,0.2194218784570694,0.2577227719128132
20,10485760,5.922935843467712,5.939154601097107,-0.01621875762939453,0.026774726635236352,0.008558620462063207,0.31965295402119265,0.011995024047791958,0.011994448490440845,0.2696620523929596,0.22621822357177734,1.0372625172138215,0.7482267448421916,0.3546126469969749,0.15956050306558608,0.19818359464406968,0.2876432567834854
29,15204352,5.894420218467713,5.917988419532776,-0.023568201065063476,0.04182239040765785,0.012436913634118175,0.2973745286410249,0.01739252358675003,0.017390770837664604,0.39183682203292847,0.3510412573814392,0.8501966387033463,0.6132872372188917,0.41133488416671754,0.11809190399944783,0.17955112010240554,0.29102209210395813
48,25165824,5.835339140892029,5.8765912532806395,-0.04125211238861084,0.07299940969695079,0.0217686940800336,0.2982037001450285,0.02878676913678646,0.028778819367289543,0.6052711009979248,0.581372082233429,0.7376077383756637,0.532071513137947,0.40614135265350343,0.16503047570586205,0.16900914981961251,0.2598190166056156
96,50331648,5.714319252967835,5.7953289270401,-0.08100967407226563,0.13686147069892493,0.04274871540612944,0.31235025597649996,0.05756856128573418,0.0575050488114357,1.0308834314346313,1.0441263914108276,0.6137965679168701,0.4427606323241672,0.4201693877577782,0.14583857581019402,0.2046197883784771,0.22937224060297012
191,100139008,5.5957053899765015,5.737279987335205,-0.14157459735870362,0.1994538750050436,0.07470875843576051,0.3745665930725655,0.11439041048288345,0.11389407515525818,1.5761964321136475,1.5883628129959106,0.584329891204834,0.4215049181422008,0.4224672645330429,0.13426361419260502,0.21628088355064393,0.22698823884129524
286,149946368,5.572811412811279,5.748639535903931,-0.17582812309265136,0.21153500143294984,0.09278430607900688,0.4386238941569047,0.15527553856372833,0.15403954684734344,1.7543784379959106,1.7561384439468384,0.6060624122619629,0.4371816183197682,0.4342985972762108,0.1239206962287426,0.2181394875049591,0.22364121228456496
381,199753728,5.570656156539917,5.750199341773987,-0.1795431852340698,0.21267232778349857,0.09474474026194073,0.4454963240840215,0.1597755402326584,0.15842969715595245,1.8701725006103516,1.8656790256500244,0.6127688616514206,0.4420192989578399,0.4293052449822426,0.1279911261051893,0.21910183280706405,0.22360179498791694
477,250085376,5.570033884048462,5.749804854393005,-0.17977097034454345,0.2130007002889668,0.09486494221279278,0.4453738512788668,0.1595292091369629,0.1581895351409912,1.9564993381500244,1.9469332695007324,0.6079314619302749,0.4385298526635927,0.4271553918719292,0.12882713861763478,0.22011153921484947,0.22390592619776725
